Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
601-041-00-2,"dibenz[a,h]anthracene",53-70-3,H350 | H400 | H410 |,"Carc. 1B; H350: C ≥ 0,01 % | M=100 |"
601-093-00-6,"1,4-dimethylnaphthalene",571-58-4,H302 | H304 | H319 | H400 | H412 |,Oral: ATE = 1300 mg/kg bw | M=1 |
601-096-00-2,"(R)-p-mentha-1,8-diene;d-limonene",5989-27-5,H226 | H304 | H315 | H317 | H400 | H412 |,M=1 |
602-043-00-6,"lindane (ISO); γ-HCH or γ-BHC; γ-1,2,3,4,5,6-hexachlorocyclohexane",58-89-9,H362 | H301 | H332 | H312 | H373 ** | H400 | H410 |,M=10 |
602-050-00-4,"isodrin; (1α,4α,4aβ,5β,8β,8aβ)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene",465-73-6,H310 | H330 | H300 | H400 | H410 |,M=100 |
603-085-00-8,"bronopol (INN); 2-bromo-2-nitropropane-1,3-diol",52-51-7,H312 | H302 | H335 | H315 | H318 | H400 |,M=10 |
603-197-00-7,"tebuconazole (ISO); 1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol",107534-96-3,H361d *** | H302 | H400 | H410 |,M=1 | M=10 |
603-199-00-8,"etoxazol (ISO); (RS)-5-tert-butyl-2-[2-(2,6-difluorophenyl)-4,5-dihydro-1,3-oxazol-4-yl]phenetole",153233-91-1,H400 | H410 |,M=100 |
603-209-00-0,"spinosad (ISO) (reaction mass of spinosyn A and spinosyn D in ratios between 95:5 to 50:50); reaction mass of 50-95% of (2R,3aS,5aR,5bS,9S,13S,14R,16aS,16bR)-2-(6-deoxy-2,3,4-tri-O-methyl-α-.sc.l.sc.-mannopyranosyloxy)-13-(4-dimethylamino-2,3,4,6-tetradeoxy-β-.sc.d.sc.-erythropyranosyloxy)-9-ethyl-2,3,3a,5a,5b,6,7,9,10,11,12,13,14,15,16a,16b-hexadecahydro-14-methyl-1H-8-oxacyclododeca[b]as-indacene-7,15-dione and 50-5% (2S,3aR,5aS,5bS,9S,13S,14R,16aS,16bS)-2-(6-deoxy-2,3,4-tri-O-methyl-α-.sc.l.sc.-mannopyranosyloxy)-13-(4-dimethylamino-2,3,4,6-tetradeoxy-β-.sc.d.sc.-erythropyranosyloxy)-9-ethyl-2,3,3a,5a,5b,6,7,9,10,11,12,13,14,15,16a,16b-hexadecahydro-4,14-dimethyl-1H-8-oxacyclododeca[b]as-indacene-7,15-dione [1] | spinosyn A [2] | spinosyn D  [3] |",131929-60-7 [2] | 131929-63-0 [3] |,H400 | H410 |,M=10 |
603-237-00-3,"ipconazole (ISO); (1RS,2SR,5RS;1RS,2S­R,5SR)-2-(4-chloro­benzyl)-5-isopropyl-1- (1H-1,2,4-triazol-1-yl­methyl)cyclopentanol",125225-28-7,"H360D | H302 | H373 (eyes, skin, liver) | H410 |",Oral: ATE = 500 mg/kg bw | M=100 |
603-239-00-4,"paclobutrazol (ISO); (2RS,3RS)-1-(4-chloro­phenyl)-4,4-dimethyl- 2-(1H-1,2,4-triazol-1-yl)pentan-3-ol",76738-62-0,H361d | H332 | H302 | H319 | H400 | H410 |,Inhalation: ATE = 3.13 mg/L (dusts/mists) | Oral: ATE = 490 mg/kg bw | M=10 | M=10 |
604-005-00-4,"1,4-dihydroxybenzene; hydroquinone; quinol",123-31-9,H351 | H341 | H302 | H318 | H317 | H400 |,M=10 |
604-014-00-3,chlorocresol; | 4-chloro-m-cresol; | 4-chloro-3-methylphenol,59-50-7,H302 | H335 | H314 | H318 | H317 | H400 | H412 |,M=1 |
604-070-00-9,"triclosan; 2,4,4'-trichloro-2'-hydroxy-diphenyl-ether; 5-chloro-2-(2,4-dichlorophenoxy)phenol",3380-34-5,H315 | H319 | H400 | H410 |,M=100 |
604-075-00-6,"4-(1,1,3,3-tetramethylbutyl)phenol; 4-tert-octylphenol",140-66-9,H315 | H318 | H400 | H410 |,M=10 |
604-090-00-8,4-tert-butylphenol,98-54-4,H361f | H315 | H318 | H410 |,M=1 |
604-091-00-3,etofenprox (ISO); 2-(4-ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether,80844-07-1,H362 | H400 | H410 |,M=100 | M=1000 |
604-092-00-9,"phenol, dodecyl-, branched [1] | phenol, 2-dodecyl-, branched [2] | phenol, 3-dodecyl-, branched [3] | phenol, 4-dodecyl-, branched [4] | phenol, (tetrapropenyl) derivatives [5] |",121158-58-5 [1] | 210555-94-5 [4] | 74499-35-7 [5] |,H360F | H314 | H318 | H400 | H410 |,M=10 | M=10 |
604-093-00-4,clorofene; | chlorophene; | 2-benzyl-4-chlorophenol,120-32-1,H351 | H361f | H332 | H373 (kidney) | H315 | H318 | H317 | H400 | H410 |,M=1 | M=100 |
604-096-00-0,piperonyl butoxide (ISO); 2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,51-03-6,H335 | H319 | H400 | H410,M=1 | M=1
605-008-00-3,acrolein; prop-2-enal; acrylaldehyde,107-02-8,H225 | H330 | H300 | H311 | H314 | H400 | H410 |,"Skin Corr. 1B; H314: C ≥ 0,1 % | M=100 | M=1 |"
605-013-00-0,"chloralose (INN); (R)-1,2-O-(2,2,2-trichloroethylidene)-α-D-glucofuranose; glucochloralose; anhydroglucochloral",15879-93-3,H301 | H332 | H336 | H400 | H410 |,M=10 | M=10 |
605-022-00-X,"glutaral; glutaraldehyde; 1,5-pentanedial",111-30-8,H330 | H301 | H335 | H314 | H334 | H317 | H400 | H411 |,"STOT SE 3; H335: ,5 % ≤ C < 5 % | M=1 |"
605-023-00-5,5-chloro-2-(4-chlorophenoxy)phenol; [DCPP],3380-30-1,H318 | H400 | H410 |,M=10 | M=10 |
606-013-00-3,p-benzoquinone; quinone,106-51-4,H331 | H301 | H335 | H315 | H319 | H400 |,M=10 |
606-014-00-9,"chlorophacinone (ISO); 2-[(4-chlorophenyl)(phenyl)acetyl]-1H-indene-1,3(2H)-dione",3691-35-8,H360D | H330 | H310 | H300 | H372 (blood) | H400 | H410 |,"Repr. 1B; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 0,1 % | STOT RE 2; H373: 0,01 % ≤ C < 0,1 % | M=1 | M=1 |"
606-054-00-7,"isoxaflutole (ISO); 5-cyclopropyl-1,2-oxazol-4-yl α,α,α-trifluoro-2-mesyl-p-tolyl ketone",141112-29-0,H361d *** | H400 | H410 |,M=10 | M=100 |
606-138-00-3,(2-butyl-5-nitrobenzofuran-3-yl)[4-(3-dibutylaminopropoxy)phenyl]methanone,141645-23-0,H226 | H302 | H373 ** | H315 | H318 | H317 | H400 | H410 |,M=10 |
606-143-00-0,abamectin (combination of avermectin B1a and avermectin B1b) (ISO) [1] | avermectin B1a (purity ≥80 %) [2] |,71751-41-2 [1] | 65195-55-3 [2] |,H361d | H330 | H300 | H372 (nervous system) | H400 | H410 |,"STOT RE 1; H372:  C ≥ 5 % | STOT RE 2; H373:  0,5 % ≤C<5 % | M=10000 |"
606-144-00-6,"acequinocyl (ISO); 3-dodecyl-1,4-dioxo-1,4-dihydronaphthalen-2-yl acetate",57960-19-7,H370 (lung) (Inhalation) | H373 (blood system) | H317 | H400 | H410 |,M=1000 |
606-145-00-1,"sulcotrione (ISO); 2-[2-chloro-4-(methylsulfonyl)benzoyl]cyclohexane-1,3-dione",99105-77-8,H361d | H373 (kidneys) | H317 | H400 | H410 |,M=1 | M=10 |
606-149-00-3,"tembotrione (ISO); 2-{2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl}cyclohexane-1,3-dione",335104-84-2,"H361d | H373 (eyes, kidneys, liver) | H317 | H400 | H410 |",M=100 | M=10 |
606-152-00-X,"(5-chloro-2-methoxy-4-methyl-3-pyridyl)(4,5,6-trimethoxy-o-tolyl)methanone; pyriofenone",688046-61-9,H351 | H410 |,M=1 |
606-154-00-0,"quinoclamine (ISO); 2-amino-3-chloro-1,4-naphthoquinone",2797-51-5,"H351  | H361d  | H302  | H373 (blood system, kidney) | H319  | H317 | H400 | H410",oral: | ATE = 500 mg/kg bw | M=10 | M=10
607-049-00-2,mecoprop (ISO); 2-(4-chloro-o-tolyloxy) propionic acid; (RS)-2-(4-chloro-o-tolyloxy)propionic acid [1] | 2-(4-chloro-2-methylphenoxy)propionic acid  [2] |,7085-19-0 [1] |,H302 | H315 | H318 | H400 | H410 |,M=100 |
607-059-00-7,"coumatetralyl (ISO); 4-hydroxy-3-(1,2,3,4-tetrahydro-1-naphthyl)coumarin",5836-29-3,H360D | H330 | H300 | H311 | H372 (blood) | H410 |,"Repr. 1B; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | M=10 |"
607-151-00-7,propargite (ISO); 2-(4-tert-butylphenoxy) cyclohexyl prop-2-ynyl sulphite,2312-35-8,H351 | H331 | H315 | H318 | H400 | H410 |,M=10 |
607-157-00-X,"difenacoum (ISO); 3-(3-biphenyl-4-yl-1,2,3,4-tetrahydro-1-naphthyl)-4-hydroxycoumarin",56073-07-5,H360D | H330 | H310 | H300 | H372 (blood) | H400 | H410 |,"Repr. 1B; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 0,02 % | STOT RE 2; H373: 0,002 % ≤ C < 0,02 % | M=10 | M=10 |"
607-172-00-1,"brodifacoum (ISO); 4-hydroxy-3-(3-(4'-bromo-4-biphenylyl)-1,2,3,4-tetrahydro-1-naphthyl)coumarin",56073-10-0,H360D | H330 | H310 | H300 | H372 (blood) | H400 | H410 |,"Repr. 1A; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 0,02 % | STOT RE 2; H373: 0,002 % ≤ C < 0,02 % | M=10 | M=10 |"
607-177-00-9,"tribenuron-methyl (ISO); methyl 2-[N-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-N-methylcarbamoylsulfamoyl]benzoate",101200-48-0,H373 | H317 | H400 | H410 |,M=100 | M=100 |
607-232-00-7,pyridate (ISO); O-(6-chloro-3-phenylpyridazin-4-yl) S-octyl thiocarbonate,55512-33-9,H302 | H315 | H317 | H400 | H410 |,Oral: ATE = 500 mg/kg bw | M=1 | M=10 |
607-252-00-6,"lambda-cyhalothrin (ISO); reaction mass of (S)-α-cyano-3-phenoxybenzyl(Z)-(1R)-cis-3-(2-chloro-3,3,3-trifluoropropenyl)-2,2-dimethylcyclopropanecarboxylate and (R)-α-cyano-3-phenoxybenzyl (Z)-(1S)-cis-3-(2-chloro-3,3,3-trifluoropropenyl)-2,2-dimethylcyclopropanecarboxylate (1:1)",91465-08-6,H330 | H301 | H312 | H400 | H410 |,M=10000 |
607-256-00-8,azoxystrobin (ISO); methyl (E)-2-{2-[6-(2-cyanophenoxy)pyrimi­din-4-yloxy]phenyl}-3-methoxyacrylate,131860-33-8,H331 | H400 | H410 |,Inhalation: ATE = 0.7 mg/L (dusts/mists) | M=10 | M=10 |
607-314-00-2,"ethofumesate (ISO); (RS)-2-ethoxy-2,3-di­hydro-3,3-dimethyl­benzofuran-5-yl methanesulfonate",26225-79-6,H400 | H410 |,M=1 | M=1 |
607-319-00-X,"deltamethrin (ISO); (S)-α-cyano-3-phenoxybenzyl (1R, 3R)-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate",52918-63-5,H331 | H301 | H400 | H410 |,M=1000000 |
607-373-00-4,quizalofop-P-tefuryl (ISO); (+/-)  tetrahydrofurfuryl (R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenyloxy]propionate,200509-41-7,H351 | H361fd | H302 | H373 | H400 | H410 |,M=1 | M=1 |
607-375-00-5,"flocoumafen (ISO); reaction mass of: cis-4-hydroxy-3-(1,2,3,4-tetrahydro-3-(4-(4-trifluoromethylbenzyloxy)phenyl)-1-naphthyl)coumarin and trans-4-hydroxy-3-(1,2,3,4-tetrahydro-3-(4-(4-trifluoromethylbenzyloxy)phenyl)-1-naphthyl)coumarin",90035-08-8,H360D | H330 | H310 | H300 | H372 (blood) | H400 | H410 |,"Repr. 1B; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 0,05 % | STOT RE 2; H373: 0,005 % ≤ C < 0,05 % | M=10 | M=10 |"
607-421-00-4,"cypermethrin (ISO); | α-cyano-3-phenoxybenzyl 3-(2,2-dichlorovi-nyl)-2,2-dimethylcyclopro-panecarboxylate; cypermethrin cis/trans +/- 40/60",52315-07-8,H332 | H302 | H335 | H373 (nervous system) | H400 | H410 |,Inhalation: ATE = 3.3 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=100000 | M=100000 |
607-422-00-X,"α-cypermethrin (ISO); racemate comprising (R)-α-cyano-3-phenoxybenzyl (1S,3S)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate; (S)-α-cyano-3-phenoxybenzyl (1R,3R)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",67375-30-8,H301 | H335 | H373 ** | H400 | H410 |,M=1000 |
607-424-00-0,"trifloxystrobin (ISO); | methyl (E)-methoxyimino- {(E)-α-[1-(α,α,α-trifluoro-m- tolyl) ethylideneaminooxy]-o- tolyl}acetate",141517-21-7,H362 | H317 | H400 | H410 |,M=100 | M=10 |
607-434-00-5,mecoprop-P [1] and its salts;; (R)-2-(4-chloro-2-methylphenoxy)propionic acid and its salts,16484-77-8,H302 | H318 | H400 | H410 |,Oral: ATE = 431 mg/kg bw | M=10 | M=10 |
607-621-00-1,milbemectin (ISO); [reaction mass of milbemycin A3 (CAS No 51596-10-2) and milbemycin A4 (CAS No 51596-11-3) (30:70)],-,H332 | H302 | H400 | H410 |,M=100 |
607-625-00-3,clodinafop-propargyl (ISO),105512-06-9,H302 | H373 ** | H317 | H400 | H410 |,"Skin Sens. 1; H317: C ≥ 0,001 % | M=1 |"
607-670-00-9,"dibutyl-3-(4-(5-ammonio-2-butyl)benzofuran-3-yl)carbonyl)phenoxy)propyl ammonium oxalate; (5-amino-2-butylbenzofuran-3-yl) [4-(3-dibutylaminopropoxy)phenyl]methanone, dioxalate",500791-70-8,H373 ** | H318 | H317 | H400 | H410 |,M=10 |
607-699-00-7,"bifenthrin (ISO); (2-methylbiphenyl-3-yl)methyl rel-(1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl]-2,2-dimethylcyclopropanecarboxylate",82657-04-3,H351 | H300 | H331 | H372 (nervous system) | H317 | H400 | H410 |,M=10000 | M=100000 |
607-700-00-0,"indoxacarb (ISO); methyl (4aS)-7-chloro-2-{(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]carbamoyl}-2,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylate [1] | reaction mass of (S)- Indoxacarb and (R)- Indoxacarb 75:25; methyl 7-chloro-2-{(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]carbamoyl}-2,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylate [2] |",173584-44-6 [1] | 144171-61-9 [2] |,"H301 | H332 | H372 (blood, nervous system, heart) | H317 | H400 | H410 |",M=1 | M=1 |
607-707-00-9,"fenoxaprop-P-ethyl (ISO); ethyl (2R)-2-{4-[(6-chloro-1,3-benzoxazol-2-yl)oxy]phenoxy}propanoate",71283-80-2,H373 (kidneys) | H317 | H400 | H410 |,M=1 | M=1 |
607-711-00-0,"spirotetramat (ISO); (5s,8s)-3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4,5]dec-3-en-4-yl ethyl carbonate",203313-25-1,H361fd | H335 | H319 | H317 | H400 | H410 |,M=1 | M=1 |
607-712-00-6,"dodemorph acetate; 4-cyclododecyl-2,6-dimethylmorpholin-4-ium acetate",31717-87-0,H361d | H373 (liver) | H314 | H317 | H410 |,M=1 |
607-713-00-1,"fenpyroximate (ISO); tert-butyl 4-[({(E)-[(1,3-dimethyl-5-phenoxy-1H-pyrazol-4-yl)methylene]amino}oxy)methyl]benzoate",134098-61-6,H330 | H301 | H317 | H400 | H410 |,M=100 | M=1000 |
607-714-00-7,"triflusulfuron-methyl; methyl 2-({[4-(dimethylamino)-6-(2,2,2- trifluoroethoxy)-1,3,5-triazin-2- yl]carbamoyl}sulfamoyl)-3- methylbenzoate",126535-15-7,H351 | H400 | H410 |,M=100 | M=10 |
607-715-00-2,bifenazate (ISO); isopropyl 2-(4-methoxybiphenyl-3-yl)hydrazinecarboxylate,149877-41-8,H373 | H317 | H400 | H410 |,M=1 | M=1 |
607-716-00-8,bromadiolone (ISO); 3-[3-(4′-bromobiphenyl-4-yl)-3-hydroxy-1-phenylpropyl]-4-hydroxy-2H-chromen-2-one,28772-56-7,H360D | H330 | H310 | H300 | H372 (blood) | H400 | H410 |,"Repr. 1B; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 0,005 % | STOT RE 2; H373: 0,0005 % ≤ C < 0,005 % | M=1 | M=1 |"
607-717-00-3,"difethialone (ISO); | 3-[3-(4′-bromobiphenyl-4-yl)-1,2,3,4-tetrahydronaphthalen-1-yl]-4-hydroxy-2H-1-benzothiopyran-2-one",104653-34-1,H360D | H330 | H310 | H300 | H372 (blood) | H400 | H410 |,"Repr. 1B; H360D: C ≥ 0,003 % | STOT RE 1; H372: C ≥ 0,02 % | STOT RE 2; H373: 0,002 % ≤ C < 0,02 % | M=100 | M=100 |"
607-722-00-0,"2,3,5,6-tetrafluoro-4-(methoxymethyl)benzyl (Z)-(1R,3R)-3-(2-cyanoprop-1-enyl)-2,2-dimethylcyclopropanecarboxylate; | epsilon-momfluorothrin",1065124-65-3,H302 | H371 (nervous system) | H400 | H410 |,M=100 | M=100 |
607-723-00-6,"tefluthrin (ISO); | 2,3,5,6-tetrafluoro-4-methylbenzyl (1RS,3RS)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropanecarboxylate",79538-32-2,H330 | H310 | H300 | H400 | H410 |,M=10000 | M=10000 |
607-724-00-1,"2,3,5,6-tetrafluoro-4-(methoxymethyl)benzyl (1R,3R)-2,2-dimethyl-3-[(1Z)-prop-1-en-1-yl] cyclopropanecarboxylate; | epsilon-metofluthrin",240494-71-7,H301 | H332 | H370 (nervous system) | H373 | H400 | H410 |,M=100 | M=100 |
607-725-00-7,"isopropyl (2E,4E,7S)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoate; | S-methoprene",65733-16-6,H400 | H410 |,M=1 | M=1 |
607-726-00-2,"pinoxaden (ISO); | 8-(2,6-diethyl-4-methylphenyl)-7-oxo-1,2,4,5-tetrahydro-7H-pyrazolo[1,2-d][1,4,5]oxadia­zepin-9-yl 2,2-dimethylpropanoate",243973-20-8,H361d | H332 | H302 | H335 | H319 | H317 | H400 | H412 |,Inhalation: ATE = 4.63 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=1 |
607-727-00-8,"tetramethrin (ISO); | (1,3-dioxo-1,3,4,5,6,7-hexahydro-2H-isoindol-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropanecarboxylate",7696-12-0,H351 | H302 | H371 (nervous system) (Inhalation) | H400 | H410 |,M=100 | M=100 |
607-728-00-3,"(1,3,4,5,6,7-hexahydro-1,3-di­oxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",1166-46-7,H351 | H302 | H371 (nervous system) (Inhalation) | H400 | H410 |,M=100 | M=100 |
607-729-00-9,"mesosulfuron-methyl (ISO); | methyl 2-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-α-(methanesulfonamido)-p-toluate;",208465-21-8,H400 | H410 |,M=100 | M=100 |
607-730-00-4,"spirodiclofen (ISO); | 3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl 2,2-dimethylbutyrate",148477-71-8,H350 | H361f | H373 | H317 | H410 |,M=10 |
607-731-00-X,sodium methyl [(4-aminophenyl)sulphonyl]carbamate; sodium methyl (EZ)-sulfanilylcarbonimidate; asulam-sodium,2302-17-2,H317 | H400 | H410 |,M=1 | M=1 |
607-738-00-8,MCPA-thioethyl (ISO); S-ethyl   (4-chloro-2- methylphenoxy)etha­nethioate; S-ethyl 4- chloro-o-tolylox­ythioacetate,25319-90-8,H302 | H373 (liver) | H400 | H410 |,Oral: ATE = 450 mg/kg bw | M=10 | M=10 |
607-741-00-4,"4-{[(6-chloropyridin-3-yl)methyl](2,2-di­fluoroethyl)amino}furan-2(5H)-one; flupyra­difurone",951659-40-8,H302 | H373 (muscle) | H400 | H410 |,Oral: ATE = 500 mg/kg bw | M=10 | M=10 |
607-742-00-X,"thiencarbazone-methyl (ISO); methyl   4-[(4,5-dihydro-3-methoxy-4- methyl-5-oxo-1H-1,2,4-triazol-1-yl)carbonylsulfamoyl]-5- methylthiophene-3- carboxylate",317815-83-1,H400 | H410 |,M=1000 | M=1000 |
607-747-00-7,"2,2-dibromo-2-cyanoacetamide; [DBNPA]",10222-01-2,"H330 | H301 | H372 (respiratory tract, inhalation) | H315 | H318 | H317 | H400 | H410 |",Inhalation: ATE = 0.24 mg/L (dusts/mists) | Oral: ATE = 118 mg/kg bw | M=1 | M=1 |
607-748-00-2,"[S-(Z,E)]-5-(1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl)-3-methylpenta-2,4-dienoic acid; | S-abscisic acid",21293-29-8,H400 | H410 |,M=1 | M=1 |
607-751-00-9,"ethametsulfuron-methyl (ISO); | methyl 2-({[4-ethoxy-6-(methylamino)-1,3,5-triazin-2-yl]carbamoyl}sulfamoyl)benzoate",97780-06-8,H319 | H400 | H410 |,M=1000 | M=100 |
607-752-00-4,"trinexapac-ethyl (ISO); | ethyl 4-[cyclopropyl(hydroxy)methylene]-3,5-dioxocyclohexanecarboxylate",95266-40-3,H373 (gastrointestinal tract) | H317 | H410 |,M=1 |
607-755-00-0,(RS)-1-{1-ethyl-4-[4-mesyl-3-(2-methoxyethoxy)-o-toluoyl]pyrazol-5-yloxy}ethyl methyl carbonate; | tolpyralate,1101132-67-5,H351 | H361fd | H373 (eye) | H400 | H410 |,M=10 | M=100 |
607-758-00-7,"4,4'-oxydi(benzenesulphonohydrazide)",80-51-3,H242 | H400 | H410,M=1 | M=1
608-006-00-0,"bromoxynil (ISO); 3,5-dibromo-4-hydroxybenzonitrile; bromoxynil phenol",1689-84-5,H361d *** | H330 | H301 | H317 | H400 | H410 |,M=10 |
608-007-00-6,"ioxynil (ISO); 4-hydroxy-3,5-diiodobenzonitrile",1689-83-4,H361d *** | H331 | H301 | H312 | H373 ** | H319 | H400 | H410 |,M=10 |
608-014-00-4,chlorothalonil (ISO); tetrachloroisophthalonitrile,1897-45-6,H351 | H330 | H335 | H318 | H317 | H400 | H410 |,M=10 |
608-017-00-0,"bromoxynil octanoate (ISO); 2,6-dibromo-4-cyanophenyl octanoate",1689-99-2,H361d *** | H331 | H302 | H317 | H400 | H410 |,M=10 |
608-018-00-6,"ioxynil octanoate (ISO); 4-cyano-2,6-diiodophenyl octanoate",3861-47-0,H361d *** | H301 | H319 | H317 | H400 | H410 |,M=10 |
608-034-00-3,chlorfenapyr (ISO); 4-bromo-2-(4-chlorophenyl)-1-ethoxymethyl-5-trifluoromethylpyrrole-3-carbonitrile,122453-73-0,H331 | H302 | H400 | H410 |,M=100 |
608-055-00-8,"fipronil (ISO); (±)-5-amino-1-(2,6-dichloro-α,α,α-trifluoro-para-tolyl)-4-trifluoromethylsulfinyl-pyrazole-3-carbonitrile",120068-37-3,H331 | H311 | H301 | H372 * | H400 | H410 |,M=1000 | M=10000 |
608-058-00-4,esfenvalerate (ISO); | (S)-α-cyano- 3-phenoxybenzyl-(S)- 2-(4-chlorophenyl)- 3-methylbutyrate,66230-04-4,H331 | H301 | H370 (nervous system) | H373 | H317 | H400 | H410 |,Inhalation: ATE = 0.53 mg/L (dusts/mists) | Oral: ATE = 88.5 mg/kg bw | M=10000 | M=10000 |
608-065-00-2,salts of bromoxynil with the exception of those specified elsewhere in this Annex,,H361d *** | H330 | H301 | H317 | H400 | H410 |,M=10 |
608-066-00-8,salts of ioxynil with the exception of those specified elsewhere in this Annex,,H361d *** | H331 | H301 | H312 | H373 ** | H319 | H400 | H410 |,M=10 |
608-068-00-9,"flutianil (ISO); | (2Z)-{[2-fluoro-5-(trifluoro­methyl)phenyl]thio}[3-(2-methoxyphenyl)-1,3-thiazolidin-2-ylidene]acetonitrile",958647-10-4,H410 |,M=100 |
608-069-00-4,"fludioxonil (ISO); 4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile",131341-86-1,H400 | H410 |,M=1 | M=10 |
609-023-00-6,"dinocap (ISO); (RS)-2,6-dinitro-4-octylphenyl crotonates and (RS)-2,4-dinitro-6-octylphenyl crotonates in which “octyl” is a reaction mass of 1-methylheptyl, 1-ethylhexyl and 1-propylpentyl groups",39300-45-3,H360D *** | H332 | H302 | H373 ** | H315 | H317 | H400 | H410 |,M=100 |
609-046-00-1,"trifluralin (ISO) (containing < 0.5 ppm NPDA); α,α,α-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine (containing < 0.5 ppm NPDA); 2,6-dinitro-N,N-dipropyl-4-trifluoromethylaniline (containing < 0.5 ppm NPDA); N,N-dipropyl-2,6-dinitro-4-trifluoromethylaniline (containing < 0.5 ppm NPDA)",1582-09-8,H351 | H317 | H400 | H410 |,M=10 |
609-064-00-X,"mesotrione (ISO); 2-[4-(methylsulfonyl)-2-nitrobenzoyl]-1,3-cyclohexanedione",104206-82-8,"H361d | H373 (eyes, nervous system) | H400 | H410 |",M=10 | M=10 |
611-140-00-2,"azafenidin (ISO); 2-(2,4-dichloro-5-prop-2-ynyloxyphenyl)-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyridin-3(2H)-one",68049-83-2,H360Df | H373 ** | H400 | H410 |,M=1000 |
612-086-00-2,"amitraz (ISO); N,N-bis(2,4-xylyliminomethyl) methylamine",33089-61-1,H302 | H373 ** | H317 | H400 | H410 |,M=10 |
612-120-00-6,aclonifen (ISO); 2-chloro-6-nitro-3-phenoxyaniline,74070-46-5,H351 | H317 | H400 | H410 |,M=100 | M=10 |
612-150-00-X,"spiroxamine (ISO); 8-tert-butyl-1,4-dioxaspiro[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",118134-30-8,H361d | H332 | H312 | H302 | H373 (eye) | H315 | H317 | H400 | H410 |,M=100 | M=100 |
612-242-00-X,cyprodinil (ISO); 4-cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine,121552-61-2,H317 | H400 | H410 |,M=10 |
612-243-00-5,"(1S-cis)-4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydro-N-methyl-1-naphthalenamine 2-hydroxy-2-phenylacetate",79617-97-3,H318 | H400 | H410 |,M=10 |
612-245-00-6,2-ethylphenylhydrazine hydrochloride,19398-06-2,H351 | H302 | H372 ** | H318 | H317 | H400 | H410 |,M=10 |
612-252-00-4,imidacloprid (ISO); | (E)-1-(6-chloro- 3-pyridylmethyl)-N-nitroimidazolidin-2-ylideneamine;(2E)-1-[(6-chloropyridin- 3-yl) methyl]-N-nitroimidazolidin-2-imine,138261-41-3,H301 | H400 | H410 |,Oral: ATE = 131 mg/kg bw | M=100 | M=1000 |
612-261-00-3,"3,5-dichloro-2-fluoro-4-(1,1,2,3,3,3-hexafluoropropoxy)aniline",121451-05-6,H302 | H317 | H400 | H410 |,M=10 |
