Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
015-096-00-X,"oxydisulfoton (ISO); O, O-diethyl S-2-ethylsulphinylethyl phosphorodithioate",2497-07-6,H300 | H311 | H400 | H410 |,M=10 |
015-097-00-5,phenthoate (ISO); ethyl 2-(dimethoxyphosphinothioylthio)-2-phenylacetate,2597-03-7,H312 | H302 | H400 | H410 |,M=100 |
015-100-00-X,phoxim (ISO); α-(diethoxyphosphinothioylimino) phenylacetonitrile,14816-18-3,H361f *** | H302 | H317 | H400 | H410 |,M=1000 |
015-101-00-5,"phosmet (ISO); | S-[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)methyl] O,O-di-methyl phosphorodithioate; | O,O-dimethyl-S-phthalimido-methyl phosphorodithioate",732-11-6,H361f | H301 | H332 | H370 (nervous system) | H400 | H410 |,M=100 | M=100 |
015-108-00-3,"bromophos (ISO); O-4-bromo-2,5-dichlorophenyl O,O-dimethyl phosphorothioate",2104-96-3,H302 | H400 | H410 |,M=100 |
015-109-00-9,crotoxyphos (ISO); 1-phenylethyl 3-(dimethoxyphosphinyloxy) isocrotonate,7700-17-6,H311 | H301 | H400 | H410 |,M=10 |
015-113-00-0,"tolclofos-methyl (ISO); | O-(2,6-dichloro-p-tolyl)-O,O-dimethyl thiophosphate",57018-04-9,H317 | H400 | H410 |,M=1 | M=1 |
015-114-00-6,"chlormephos (ISO); S-chloromethyl O,O-diethyl phosphorodithioate",24934-91-6,H310 | H300 | H400 | H410 |,M=10 |
015-115-00-1,"chlorthiophos (ISO); [isomeric reaction mass in which O-2,5-dichlorophenyl-4-methylthiophenyl O,O-diethyl phosphorothioate predominates]",21923-23-9,H300 | H311 | H400 | H410 |,M=1000 |
015-122-00-X,"etrimfos (ISO); O-6-ethoxy-2-ethylpyrimidin-4-yl O,O-dimethylphosphorothioate",38260-54-7,H302 | H400 | H410 |,M=10 |
015-123-00-5,fenamiphos (ISO); ethyl-4-methylthio-m-tolyl isopropyl phosphoramidate,22224-92-6,H330 | H310 | H300 | H319 | H400 | H410 |,M=100 | M=100 |
015-126-00-1,"heptenophos (ISO); 7-chlorobicyclo(3.2.0)hepta-2,6-dien-6-yl dimethyl phosphate",23560-59-0,H301 | H400 | H410 |,M=100 |
015-128-00-2,"IPSP; S-ethylsulphinylmethyl O,O-diisopropylphosphorodithioate",5827-05-4,H310 | H301 | H400 | H410 |,M=100 |
015-129-00-8,isofenphos (ISO); O-ethyl O-2-isopropoxycarbonylphenyl-isopropylphosphoramidothioate,25311-71-1,H311 | H301 | H400 | H410 |,M=100 |
015-132-00-4,"S-(chlorophenylthiomethyl) O,O-dimethylphosphorodithioate; methylcarbophenothione",953-17-3,H311 | H301 | H400 | H410 |,M=1000 |
015-133-00-X,"piperophos (ISO); S-2-methylpiperidinocarbonylmethyl-O,O-dipropyl phosphorodithioate",24151-93-7,H302 | H400 | H410 |,M=10 |
015-134-00-5,"pirimiphos-methyl (ISO); O-[2-(diethylamino)-6-methylpyrimidin-4-yl] O,O-dimethyl phosphorothioate",29232-93-7,H302 | H372 (nervous system) | H400 | H410 |,Oral: ATE = 1414 mg/kg bw | M=1000 | M=1000 |
